id   ,Date      ,State                    ,Total Confirmed Cases ,Total Deaths
288  ,Sun 9/5   ,Hawaii                   ,65315                 ,621
289  ,Sun 9/5   ,Idaho                    ,225604                ,2380
290  ,Sun 9/5   ,Illinois                 ,1542870               ,26614
291  ,Sun 9/5   ,Indiana                  ,876850                ,14570
292  ,Sun 9/5   ,Iowa                     ,411577                ,6307
293  ,Sun 9/5   ,Kansas                   ,378244                ,5659
294  ,Sun 9/5   ,Kentucky                 ,595992                ,7910
295  ,Sun 9/5   ,Louisiana                ,696900                ,12707
296  ,Sun 9/5   ,Maine                    ,78071                 ,940
297  ,Sun 9/5   ,Maryland                 ,503258                ,10073
298  ,Sun 9/5   ,Massachusetts            ,765584                ,18286
299  ,Sun 9/5   ,Michigan                 ,1069258               ,21657
300  ,Sun 9/5   ,Minnesota                ,655511                ,7937
301  ,Sun 9/5   ,Mississippi              ,446863                ,8540
302  ,Sun 9/5   ,Missouri                 ,787315                ,11356
303  ,Sun 9/5   ,Montana                  ,129607                ,1811
304  ,Sun 9/5   ,Nebraska                 ,247320                ,2599
305  ,Sun 9/5   ,Nevada                   ,394595                ,6583
306  ,Sun 9/5   ,New Hampshire            ,108713                ,1426
307  ,Sun 9/5   ,New Jersey               ,1102488               ,26948
308  ,Sun 9/5   ,New Mexico               ,235390                ,4554
309  ,Sun 9/5   ,New York                 ,2301437               ,54007
310  ,Sun 9/5   ,North Carolina           ,1239293               ,14726
311  ,Sun 9/5   ,North Dakota             ,119588                ,1596
312  ,Sun 9/5   ,Northern Mariana Islands ,243                   ,2
313  ,Sun 9/5   ,Ohio                     ,1253198               ,20947
314  ,Sun 9/5   ,Oklahoma                 ,560850                ,8001
315  ,Sun 9/5   ,Oregon                   ,283873                ,3281
316  ,Sun 9/5   ,Pennsylvania             ,1319681               ,28395
317  ,Sun 9/5   ,Puerto Rico              ,207598                ,2919
318  ,Sun 9/5   ,Rhode Island             ,163742                ,2773
319  ,Sun 9/5   ,South Carolina           ,752378                ,10781
320  ,Sun 9/5   ,South Dakota             ,133855                ,2072
321  ,Sun 9/5   ,Tennessee                ,1051443               ,13522
322  ,Sun 9/5   ,Texas                    ,3696245               ,58572
