id  ,City                                   ,State ,Low estimate ,Best Guess ,High estimate ,Source1
90  ,"Cathlamet, WA"                        ,WA    ,2.0          ,2.0        ,2.0           ,https://twitter.com/emily_kintigh/status/823942819832172544
91  ,"Champaign, IL"                        ,IL    ,5000.0       ,5360.0     ,5800.0        ,http://www.news-gazette.com/news/local/2017-01-21/womens-march-champaign.html
92  ,"Charleston, SC"                       ,SC    ,2000.0       ,2000.0     ,2000.0        ,http://www.postandcourier.com/news/unity-activism-and-empowerment-at-charleston-women-s-march-where/article_34b81c38-dffb-11e6-9c2e-f30b0dc420c4.html
93  ,"Charleston, WV"                       ,WV    ,2000.0       ,2450.0     ,3000.0        ,http://counton2.com/2017/01/20/womens-march-on-washington-plans-sister-march-in-charleston/
94  ,"Charlotte, NC"                        ,NC    ,20000.0      ,24500.0    ,30000.0       ,"city police estimate reported to organizers, reported via google form"
95  ,"Charlottesville, VA"                  ,VA    ,2000.0       ,2225.0     ,2500.0        ,http://www.dailyprogress.com/gallery/charlottesville-women-s-march/collection_1a2a4a98-e006-11e6-9753-7fa6fdc922ca.html
96  ,"Chattanooga, TN"                      ,TN    ,1000.0       ,1900.0     ,3000.0        ,http://www.timesfreepress.com/news/local/story/2017/jan/21/women-march-chattanooga-protest-trump-election/408743/
97  ,"Chelan, WA"                           ,WA    ,400.0        ,432.0      ,470.0         ,local media reported via Google form
98  ,"Chesapeake Bay, MD"                   ,MD    ,1.0          ,1.0        ,1.0           ,FB
99  ,"Cheyenne, WY"                         ,WY    ,1200.0       ,1560.0     ,2000.0        ,http://www.wyomingnews.com/news/new-large-spirited-crowd-fills-women-s-march-in-cheyenne/article_193210e4-e029-11e6-b4f7-131f0601002f.html
100 ,"Chicago, IL"                          ,IL    ,250000.0     ,250000.0   ,250000.0      ,http://www.chicagotribune.com/news/ct-womens-march-chicago-0122-20170121-story.html
101 ,"Chico, CA"                            ,CA    ,1000.0       ,1900.0     ,3000.0        ,FB
102 ,"Chillicothe, OH"                      ,OH    ,1000.0       ,1000.0     ,1000.0        ,https://twitter.com/JeffTClinton/status/822999960765530113
103 ,"Christiansted, St. Croix"             ,VI    ,350.0        ,440.0      ,550.0         ,"US Park Service, Fort Christianvaarn Historic Site, Christiansted"
104 ,"Cincinnati, OH"                       ,OH    ,5000.0       ,8150.0     ,12000.0       ,http://www.wlwt.com/article/thousands-fill-washington-park-as-part-of-nationwide-equal-rights-movement/8625720
105 ,"Clare, MI"                            ,MI    ,24.0         ,50.0       ,75.0          ,http://www.themorningsun.com/general-news/20170121/hope-strength-unity-topics-at-the-clare-peoples-rally
106 ,"Clarion, PA"                          ,PA    ,65.0         ,83.0       ,100.0         ,http://www.theclarionnews.com/news/local/article_1731f243-d54b-5d9c-89e5-4b8fc3196cc5.html
107 ,"Clemson, SC"                          ,SC    ,500.0        ,500.0      ,500.0         ,http://www.independentmail.com/story/news/local/south-carolina/2017/01/21/clemson-march-draws-500-support-womens-rights/96886286/
108 ,"Cleveland, OH"                        ,OH    ,15000.0      ,15000.0    ,15000.0       ,http://www.cleveland.com/metro/index.ssf/2017/01/womens_march_on_cleveland_a_vo.html#incart_big-photo
109 ,"Cobb, CA"                             ,CA    ,2.0          ,2.0        ,2.0           ,FB
110 ,"Cobleskill, NY"                       ,NY    ,350.0        ,350.0      ,350.0         ,http://www.timesjournalonline.com/article.asp?id=101580
111 ,"Cody, WY"                             ,WY    ,400.0        ,445.0      ,500.0         ,http://www.kcwy13.com/content/news/Four-Hundred-Joined-the-Cody-Womens-March-Over-the-Weekend--411538625.html
112 ,"College Station, TX"                  ,TX    ,50.0         ,50.0       ,50.0          ,http://www.kbtx.com/content/news/College-Station-group-holds-womens-march--411430985.html
113 ,"Colorado Springs, CO"                 ,CO    ,7000.0       ,7000.0     ,7000.0        ,http://gazette.com/thousands-march-in-colorado-springs-in-protest-a-day-after-president-trumps-inauguration/article/1594846
114 ,"Columbia, MD"                         ,MD    ,100.0        ,113.0      ,125.0         ,FB
115 ,"Columbia, MO"                         ,MO    ,2000.0       ,2722.0     ,3604.0        ,http://www.columbiatribune.com/news/local/local-solidarity-march-brings-out-hundreds-in-opposition-to-trump/article_600dbb1a-2273-58c3-9799-ac4a96578a24.html
116 ,"Columbia, SC"                         ,SC    ,2000.0       ,2450.0     ,3000.0        ,http://www.heraldonline.com/latest-news/article127939199.html
117 ,"Columbus, OH"                         ,OH    ,2000.0       ,2450.0     ,3000.0        ,http://wksu.org/post/womens-march-columbus-draws-thousands-people#stream/0
118 ,"Columbus, OH"                         ,OH    ,200.0        ,200.0      ,200.0         ,http://thelantern.com/2017/01/students-stage-walkout-in-protest-against-president-trump/
119 ,"Compton, CA"                          ,CA    ,35.0         ,40.0       ,45.0          ,estimated headcount from FB photos provided via google form
120 ,"Concord, NH"                          ,NH    ,4000.0       ,4900.0     ,6000.0        ,https://twitter.com/LenStuart/status/822934229671673861
121 ,"Conover, WI"                          ,WI    ,1.0          ,1.0        ,1.0           ,FB
122 ,"Cooperstown, NY"                      ,NY    ,200.0        ,200.0      ,200.0         ,http://www.allotsego.com/women-allies-march-across-otsego-county/
123 ,"Coos Bay, OR"                         ,OR    ,200.0        ,200.0      ,200.0         ,http://theworldlink.com/news/local/hundreds-rally-at-women-s-march-in-downtown-coos-bay/article_997db7f0-b921-5aef-8e37-5945831c8400.html
124 ,"Copper Harbor, MI"                    ,MI    ,19.0         ,28.0       ,36.0          ,https://twitter.com/LlrCandy/status/823050874305921024
125 ,"Cordova, AK"                          ,AK    ,108.0        ,111.0      ,114.0         ,onsite eyewitness who did headcount
126 ,"Corpus Christi, TX"                   ,TX    ,24.0         ,24.0       ,24.0          ,http://www.kristv.com//story/34315427/corpus-christi-womens-march#.WIRF0H0kfZo.twitter
127 ,"Cortez, CO"                           ,CO    ,400.0        ,447.0      ,504.0         ,http://www.cortezjournal.com/article/20170121/NEWS01/170129975/400-march-through-snow-in-Cortez-unity-demonstration
128 ,"Corvallis, OR"                        ,OR    ,100.0        ,100.0      ,100.0         ,FB
129 ,"Craftsbury, VT"                       ,VT    ,15.0         ,15.0       ,15.0          ,FB group photo w headcount
130 ,"Crested Butte, CO"                    ,CO    ,350.0        ,418.0      ,500.0         ,https://twitter.com/jcgreenfield/status/823228054864596993
131 ,"Crestone, CO"                         ,CO    ,1.0          ,1.0        ,1.0           ,FB
132 ,"Cruz Bay, St. John"                   ,VI    ,200.0        ,200.0      ,200.0         ,http://stjohnsource.com/content/news/local-news/2017/01/22/st-john-women-s-march-draws-200
133 ,"Crystal River, FL"                    ,FL    ,7.0          ,7.0        ,7.0           ,FB group photo w headcount
134 ,"Dallas, TX"                           ,TX    ,5000.0       ,6350.0     ,8000.0        ,http://www.dallasnews.com/news/dallas/2017/01/21/watch-dallas-womens-march-kicks-downtown
135 ,"Davis, WV"                            ,WV    ,12.0         ,12.0       ,12.0          ,onsite eyewitness who did headcount
136 ,"Dayton, OH"                           ,OH    ,3000.0       ,3000.0     ,3000.0        ,http://www.mydaytondailynews.com/news/local/thousands-rally-dayton-part-women-march-events/ZlU3xaMQAph01LyLEZPs4H/
137 ,"Daytona Beach, FL"                    ,FL    ,300.0        ,300.0      ,300.0         ,http://www.news-journalonline.com/news/20170121/signs-of-solidarity-women-take-part-locally-in-two-sister-marches
138 ,"Decorah, IA"                          ,IA    ,800.0        ,890.0      ,1000.0        ,http://www.decorahnews.com/news-stories/2017/01/15551.html
139 ,"Delaware, OH"                         ,OH    ,127.0        ,129.0      ,130.0         ,organizer headcount via sign-in / photos
140 ,"Delhi, NY"                            ,NY    ,50.0         ,85.0       ,120.0         ,instagram #delhiny
141 ,"Deming, NM"                           ,NM    ,45.0         ,48.0       ,50.0          ,http://www.demingradio.com/news/local-group-marches-in-solidarity-with-womens-march-on-washington
142 ,"Denton, TX"                           ,TX    ,2500.0       ,2635.0     ,2800.0        ,http://www.dentonrc.com/local-news/local-news-headlines/20170121-divided-nation-united-denton.ece
143 ,"Denver, CO"                           ,CO    ,100000.0     ,145000.0   ,200000.0      ,http://www.thedenverchannel.com/news/front-range/denver/thousands-gather-for-womens-march-on-denver
144 ,"Des Moines, IA"                       ,IA    ,26000.0      ,26000.0    ,26000.0       ,http://whotv.com/2017/01/21/thousands-rally-at-iowa-state-capitol-for-womens-march-against-trump/
145 ,"Detroit, MI"                          ,MI    ,4000.0       ,4000.0     ,4000.0        ,http://www.detroitnews.com/story/news/local/detroit-city/2017/01/21/thousands-march-detroit-opposing-trump-presidency/96880054/
146 ,"Douglas-Saugatuck, MI"                ,MI    ,1200.0       ,1785.0     ,2500.0        ,via email 
147 ,"Doylestown, PA"                       ,PA    ,1000.0       ,1450.0     ,2000.0        ,https://twitter.com/JimAleski/status/823025384748974080
148 ,"Driggs, ID"                           ,ID    ,1000.0       ,1000.0     ,1000.0        ,http://planetjh.com/2017/01/21/in-pictures-the-womens-march-on-jackson/
149 ,"Dubuque, IA"                          ,IA    ,400.0        ,400.0      ,400.0         ,http://whotv.com/2017/01/21/smaller-march-in-dubuque-brings-strong-voices/
150 ,"Duluth, MN"                           ,MN    ,1500.0       ,1590.0     ,1700.0        ,Duluth News Tribune
151 ,"Durango, CO"                          ,CO    ,200.0        ,560.0      ,1000.0        ,https://durangoherald.com/articles/129940-hundreds-march-through-foot-of-snow-in-durango
152 ,"Eagle Pass, TX"                       ,TX    ,30.0         ,30.0       ,30.0          ,FB video headcount
153 ,"East Haddam, CT"                      ,CT    ,500.0        ,500.0      ,500.0         ,https://twitter.com/ColleenFree/status/823159668541366273
154 ,"East Liberty, PA"                     ,PA    ,2000.0       ,2000.0     ,2000.0        ,https://www.facebook.com/PghPoliceZone5/posts/1731101453873096?pnref=story
155 ,"East Millinocket, ME"                 ,ME    ,4.0          ,4.0        ,4.0           ,self-report w headcount via google form
156 ,"Eastport, ME"                         ,ME    ,111.0        ,111.0      ,111.0         ,organizer headcount via sign-in 
157 ,"Eastsound, WA"                        ,WA    ,250.0        ,250.0      ,250.0         ,http://orcasissues.com/orcas-step-worldwide-marches/
158 ,"Eau Claire, WI"                       ,WI    ,250.0        ,250.0      ,250.0         ,http://www.weau.com/content/news/Hundreds-march-in-Eau-Claire-to-support-Womens-March-411425375.html
159 ,"El Centro, CA"                        ,CA    ,100.0        ,100.0      ,100.0         ,http://www.ivpressonline.com/news/local/women-and-men-link-arms-in-valley-march-opposed-to/article_11668cd4-e068-11e6-9a19-275249e83b96.html
160 ,"El Morro, NM"                         ,NM    ,30.0         ,30.0       ,30.0          ,https://twitter.com/kristi5Davis/status/823944076684828672
161 ,"El Paso, TX"                          ,TX    ,1000.0       ,1450.0     ,2000.0        ,https://twitter.com/AdriaKFOX_CBS/status/822987688689078272
162 ,"Elgin, IL"                            ,IL    ,200.0        ,560.0      ,1000.0        ,The Courier News
163 ,"Ellensburg, WA"                       ,WA    ,200.0        ,238.0      ,275.0         ,activist self-report via google form
164 ,"Ellsworth, ME"                        ,ME    ,60.0         ,60.0       ,60.0          ,https://twitter.com/UpFrontSoul/status/823162970633015300
165 ,"Ely, MN"                              ,MN    ,50.0         ,50.0       ,50.0          ,http://elyecho.com/articles/2017/01/21/ely-area-women-hold-rally-saturday-whiteside-park
166 ,"Encinitas, CA (Seacrest)"             ,CA    ,50.0         ,50.0       ,50.0          ,http://www.nbcsandiego.com/news/local/This-is-a-Little-One-Seniors-Walk-in-Solidarity-With-the-Womens-March-411446085.html
167 ,"Ephrata, WA"                          ,WA    ,250.0        ,250.0      ,250.0         ,http://www.ifiberone.com/news/about-people-join-women-s-march-saturday-in-ephrata/youtube_ff1af7b6-e1ae-11e6-b6ed-5b1e5511006e.html
168 ,"Erie, PA"                             ,PA    ,2500.0       ,3175.0     ,4000.0        ,http://www.goerie.com/news/20170121/thousands-demonstrate-in-womens-march-on-erie
169 ,"Esperanza, PR"                        ,PR    ,300.0        ,323.0      ,350.0         ,Eyewitness on site
170 ,"Eugene, OR"                           ,OR    ,7000.0       ,8350.0     ,10000.0       ,http://registerguard.com/rg/news/local/35195183-75/more-than-7000-participate-in-womens-march-in-eugene-joining-hundreds-of-thousands-around-the-nation.html.csp
171 ,"Eureka, CA"                           ,CA    ,5000.0       ,6350.0     ,8000.0        ,https://lostcoastoutpost.com/2017/jan/21/hundreds-flood-eurekas-streets-solidarity-womens-m/
172 ,"Evanston, WY"                         ,WY    ,1.0          ,1.0        ,1.0           ,self-report via google form
173 ,"Fairbanks, AK"                        ,AK    ,2000.0       ,2000.0     ,2000.0        ,http://www.newsminer.com/news/local_news/gather-in-subzero-fairbanks-weather-for-women-s-march/article_239e5470-e01f-11e6-a089-7f4103a02ed3.html
174 ,"Fairfax, CA"                          ,CA    ,25.0         ,239.0      ,500.0         ,https://twitter.com/contraryAshley/status/823271784694747136
175 ,"Fairfield, IA"                        ,IA    ,200.0        ,200.0      ,200.0         ,FB
176 ,"Fairmont, WV"                         ,WV    ,95.0         ,95.0       ,95.0          ,FB photo of marchers
177 ,"Falmouth, MA"                         ,MA    ,1000.0       ,1000.0     ,1000.0        ,https://twitter.com/DaveMcGlinchey/status/823023657266114564
178 ,"Fargo, ND"                            ,ND    ,1000.0       ,1900.0     ,3000.0        ,http://www.valleynewslive.com/content/news/Womens-March-in-Fargo-brings--411419195.html
179 ,"Fayetteville, AR"                     ,AR    ,1000.0       ,1000.0     ,1000.0        ,FB
180 ,"Fernandina Beach, FL"                 ,FL    ,1000.0       ,1135.0     ,1300.0        ,http://www.fbnewsleader.com/news/womens-march-fernandina-beach
181 ,"Flagstaff, AZ"                        ,AZ    ,1000.0       ,1450.0     ,2000.0        ,http://azdailysun.com/news/local/flagstaff-march-for-love-tops/article_91318de2-8ea4-505d-ac21-bc6709e2b8ca.html
182 ,"Florence, OR"                         ,OR    ,300.0        ,300.0      ,300.0         ,https://twitter.com/texdakota/status/823256159989604353
183 ,"Floyd, VA"                            ,VA    ,200.0        ,200.0      ,200.0         ,FB
184 ,"Forks, WA"                            ,WA    ,45.0         ,45.0       ,45.0          ,FB
185 ,"Fort Atkinson, WI"                    ,WI    ,200.0        ,200.0      ,200.0         ,http://www.dailyunion.com/multimedia/collection_ef47d9e2-e016-11e6-acfe-3fc05da771cb.html
186 ,"Fort Bragg, CA"                       ,CA    ,2500.0       ,2635.0     ,2800.0        ,https://vimeo.com/200537363
187 ,"Fort Collins, CO"                     ,CO    ,600.0        ,600.0      ,600.0         ,http://www.coloradoan.com/story/news/local/2017/01/22/hundreds-attend-rally-our-rights/96924538/
